belief,disbelief,uncertainty,status
0.350225239,0.284703621,0.365071141,Accepted
0.312742713,0.258375886,0.428881401,Accepted
0.505727056,0.224110732,0.270162213,Accepted
0.489476609,0.316207858,0.194315533,Accepted
0.489476609,0.316207858,0.194315533,Accepted
0.333931115,0.200106708,0.465962177,Accepted
0.178445427,0.209234511,0.612320062,Accepted
0.411914821,0.284635885,0.303449294,Accepted
0.178445427,0.209234511,0.612320062,Accepted
0.178445427,0.209234511,0.612320062,Accepted
0.312742713,0.258375886,0.428881401,Accepted
0.411914821,0.284635885,0.303449294,Accepted
0.378641146,0.224106264,0.39725259,Accepted
0.378641146,0.224106264,0.39725259,Accepted
0.378641146,0.224106264,0.39725259,Accepted
0.413774765,0.284465466,0.301759769,Accepted
0.526721035,0.355119687,0.118159278,Accepted
0.2793722,0.301045745,0.419582055,Accepted
0.322316548,0.21960669,0.458076762,Accepted
0.230017878,0.297140314,0.472841808,Accepted
0.530557462,0.356872529,0.112570009,Accepted
0.197557152,0.109835343,0.692607505,Accepted
0.514266404,0.307556897,0.178176698,Accepted
0.287975167,0.297150474,0.414874359,Accepted
0.450688886,0.356436767,0.192874346,Accepted
0.48396649,0.24789879,0.26813472,Accepted
0.530557462,0.356872529,0.112570009,Accepted
0.534603024,0.215463371,0.249933605,Accepted
0.479811266,0.331589781,0.188598954,Accepted
0.302456127,0.279102959,0.418440913,Accepted
0.514214719,0.315576054,0.170209227,Accepted
0.355286301,0.304765149,0.33994855,Accepted
0.535675404,0.35704475,0.107279846,Accepted
0.355286301,0.304765149,0.33994855,Accepted
0.291061532,0.303366543,0.405571925,Accepted
0.535675404,0.35704475,0.107279846,Accepted
0.205254845,0.116517812,0.678227344,Accepted
0.205254845,0.116517812,0.678227344,Accepted
0.302456127,0.279102959,0.418440913,Accepted
0.360805288,0.325523755,0.313670957,Accepted
0.540764254,0.359944532,0.099291214,Accepted
0.540764254,0.359944532,0.099291214,Accepted
0.46747032,0.267077613,0.265452067,Accepted
0.46747032,0.267077613,0.265452067,Accepted
0.360805288,0.325523755,0.313670957,Accepted
0.383236015,0.25549488,0.361269105,Accepted
0.383236015,0.25549488,0.361269105,Accepted
0.522039805,0.319560751,0.158399444,Accepted
0.314422787,0.285966108,0.399611106,Accepted
0.46747032,0.267077613,0.265452067,Accepted
0.709949763,0.166689905,0.123360333,Accepted
0.372800023,0.263913794,0.363286183,Accepted
0.284346972,0.293748867,0.421904161,Accepted
0.290391033,0.205919359,0.503689608,Accepted
0.551323047,0.203248158,0.245428795,Accepted
0.551323047,0.203248158,0.245428795,Accepted
0.455592446,0.352428599,0.191978955,Accepted
0.477610509,0.342768702,0.179620789,Accepted
0.42447177,0.286376706,0.289151524,Accepted
0.159137512,0.232154716,0.608707771,Accepted
0.42447177,0.286376706,0.289151524,Accepted
0.419818454,0.307733882,0.272447663,Accepted
0.419818454,0.307733882,0.272447663,Accepted
0.372800023,0.263913794,0.363286183,Accepted
0.42447177,0.286376706,0.289151524,Accepted
0.467779777,0.344839629,0.187380594,Accepted
0.467779777,0.344839629,0.187380594,Accepted
0.709949763,0.166689905,0.123360333,Accepted
0.477610509,0.342768702,0.179620789,Accepted
0.311839671,0.299502656,0.388657673,Accepted
0.5093568,0.383474024,0.107169176,Accepted
0.372800023,0.263913794,0.363286183,Accepted
0.5093568,0.383474024,0.107169176,Accepted
0.455592446,0.352428599,0.191978955,Accepted
0.477610509,0.342768702,0.179620789,Accepted
0.151413243,0.529010683,0.319576075,Accepted
0.132976523,0.394246012,0.472777465,Accepted
0.14941848,0.350656746,0.499924774,Accepted
0.121226444,0.434716917,0.444056639,Accepted
0.120158369,0.361867964,0.517973667,Accepted
0.112708453,0.275023783,0.612267764,Accepted
0.118859586,0.232645314,0.6484951,Accepted
0.088477031,0.208949218,0.70257375,Accepted
0.09652358,0.317092319,0.586384101,Accepted
0.105261158,0.303755697,0.590983145,Accepted
0.088477031,0.208949218,0.70257375,Accepted
0.118974676,0.403241807,0.477783517,Accepted
0.132976523,0.394246012,0.472777465,Accepted
0.118859586,0.232645314,0.6484951,Accepted
0.118859586,0.232645314,0.6484951,Accepted
0.118974676,0.403241807,0.477783517,Accepted
0.180846708,0.512256213,0.306897079,Accepted
0.088477031,0.208949218,0.70257375,Accepted
0.077316754,0.42742103,0.495262217,Accepted
0.074612813,0.072729702,0.852657485,Accepted
0.180846708,0.512256213,0.306897079,Accepted
0.120158369,0.361867964,0.517973667,Accepted
0.133112044,0.435915056,0.4309729,Accepted
0.180846708,0.512256213,0.306897079,Accepted
0.132976523,0.394246012,0.472777465,Accepted
0.105261158,0.303755697,0.590983145,Accepted
0.121226444,0.434716917,0.444056639,Accepted
0.088477031,0.208949218,0.70257375,Accepted
0.132976523,0.394246012,0.472777465,Accepted
0.129370435,0.281004859,0.589624706,Accepted
0.09652358,0.317092319,0.586384101,Accepted
0.132976523,0.394246012,0.472777465,Accepted
0.077316754,0.42742103,0.495262217,Accepted
0.077316754,0.42742103,0.495262217,Accepted
0.180846708,0.512256213,0.306897079,Accepted
0.088074676,0.284912202,0.627013122,Accepted
0.088074676,0.284912202,0.627013122,Accepted
0.180846708,0.512256213,0.306897079,Accepted
0.077316754,0.42742103,0.495262217,Accepted
0.077316754,0.42742103,0.495262217,Accepted
0.112708453,0.275023783,0.612267764,Accepted
0.132976523,0.394246012,0.472777465,Accepted
0.129370435,0.281004859,0.589624706,Accepted
0.074612813,0.072729702,0.852657485,Accepted
0.132976523,0.394246012,0.472777465,Accepted
0.09652358,0.317092319,0.586384101,Accepted
0.118859586,0.232645314,0.6484951,Accepted
0.078334804,0.221926628,0.699738569,Accepted
0.132976523,0.394246012,0.472777465,Accepted
0.077316754,0.42742103,0.495262217,Accepted
0.14941848,0.350656746,0.499924774,Accepted
0.14941848,0.350656746,0.499924774,Accepted
0.121226444,0.434716917,0.444056639,Accepted
0.099696267,0.264826497,0.635477236,Accepted
0.088074676,0.284912202,0.627013122,Accepted
0.078334804,0.221926628,0.699738569,Accepted
0.105261158,0.303755697,0.590983145,Accepted
0.077316754,0.42742103,0.495262217,Accepted
0.180846708,0.512256213,0.306897079,Accepted
0.083267234,0.172136989,0.744595778,Accepted
0.132976523,0.394246012,0.472777465,Accepted
0.118859586,0.232645314,0.6484951,Accepted
0.09652358,0.317092319,0.586384101,Accepted
